id_driver,courier_score,courier_dtype,total_orders,total_shifts,avg_orders_per_shift,days_active,experience_category,avg_time_ratio,median_time_ratio,stddev_up_ratio,pct_timer_up_expired
184668,0.3644781265889139,Авто,219,20,10.95,98,обычный,0.5713272986646724,0.5509933149079914,0.1712389467299893,3.75
176366,0.3916099700610858,Авто,521,43,12.116279069767442,123,опытный,0.5645978754823144,0.5616113744075829,0.1333868771743006,0.1047120418848167
56593,0.28137601044961896,Вело,314,37,8.486486486486486,90,опытный,0.5623144128518426,0.5507515592327807,0.1685407889277448,1.0344827586206895
143405,0.39231807059786955,Авто,539,43,12.534883720930232,124,опытный,0.4833518920049152,0.4751928231497183,0.1446265832319111,0.4395604395604395
179621,0.39275780620929973,Авто,576,41,14.048780487804878,86,опытный,0.5106221611802426,0.4929078014184397,0.1568183077481239,0.5819592628516004
155974,0.3921221538208323,Авто,581,55,10.563636363636364,136,опытный,0.5526819507593093,0.5326797385620915,0.1660540111476828,1.3875123885034688
170707,0.5388263387098136,Электровело,1556,88,17.681818181818183,125,эксперт,0.530496310451562,0.5249343832020997,0.1475730723608016,0.3827018752391887
187415,0.32454186157482645,Авто,313,21,14.904761904761903,22,опытный,0.4857825043139291,0.4623281933396836,0.1599467089038748,1.7578125
205589,0.5018592777915576,Авто,441,21,21.0,39,опытный,0.517312444495571,0.5037593984962406,0.1484919579945822,0.9602194787379972
6169,0.3787525532889616,Электровело,898,81,11.08641975308642,138,опытный,0.4688562547890454,0.4429175475687104,0.1536868076474808,2.1993127147766325
24285,0.5131516979597395,Электровело,1049,50,20.98,51,опытный,0.5005335431568039,0.5039180719341432,0.1451283370236395,0.1693002257336343
102662,0.3899946191897074,Электровело,507,62,8.17741935483871,133,опытный,0.570406777437167,0.5339166201896264,0.2225709440078324,8.076923076923077
173134,0.3772851449616326,Электровело,1178,104,11.326923076923077,122,опытный,0.469622519330219,0.4349477736447523,0.1756735587033525,1.8640350877192984
189066,0.3865136452915994,Авто,293,23,12.73913043478261,79,опытный,0.5761397686025972,0.5715260183200156,0.1754087434620433,1.6728624535315983
159490,0.3669278267151488,Авто,372,29,12.827586206896552,102,опытный,0.4656627045151571,0.4539485859633568,0.1483496041301278,0.3322259136212624
181756,0.42801784027165607,Авто,395,25,15.8,45,опытный,0.6175659680045229,0.6018018018018018,0.1741254767420349,3.22108345534407
149620,0.342575026550094,Авто,257,26,9.884615384615383,131,опытный,0.5299211191954861,0.5304183521396637,0.1377120244014056,0.4329004329004329
208209,0.23507893220662232,Авто,300,32,9.375,59,опытный,0.484145069283468,0.4642857142857143,0.1629712549972279,0.7532956685499058
